Time,State,Entity,Confirmed,Deaths,Recovered,Latitude,Longitude
2020-03-30 22:52:45,Iowa,Appanoose,1,0,0,40.74324454,-92.86865906
2020-03-30 22:52:45,Georgia,Appling,0,0,0,31.74847232,-82.28909114
2020-03-30 22:52:45,Virginia,Appomattox,0,0,0,37.37569884,-78.81340003
2020-03-30 22:52:45,Texas,Aransas,2,0,0,28.10556197,-96.9995047
2020-03-30 22:52:45,Colorado,Arapahoe,241,3,0,39.64977461,-104.3353617
2020-03-30 22:52:45,Texas,Archer,0,0,0,33.61569967,-98.68754589
2020-03-30 22:52:45,Colorado,Archuleta,0,0,0,37.19474156,-107.04768670000001
2020-03-30 22:52:45,Michigan,Arenac,0,0,0,44.0636262,-83.89277559
2020-03-30 22:52:45,Arkansas,Arkansas,1,0,0,34.29145151,-91.37277296
2020-03-30 22:52:45,Virginia,Arlington,86,2,0,38.8767675,-77.10139853
2020-03-30 22:52:45,Pennsylvania,Armstrong,3,0,0,40.81665618,-79.46290811
2020-03-30 22:52:45,Texas,Armstrong,0,0,0,34.96507426,-101.35748740000001
2020-03-30 22:52:45,Maine,Aroostook,0,0,0,46.65926321,-68.59841248
2020-03-30 22:52:45,Nebraska,Arthur,0,0,0,41.56896142,-101.6959559
2020-03-30 22:52:45,Louisiana,Ascension,153,5,0,30.20406249,-90.91328409999998
2020-03-30 22:52:45,North Carolina,Ashe,0,0,0,36.43296207,-81.49862729
2020-03-30 22:52:45,Ohio,Ashland,2,0,0,40.84772277,-82.27280781
2020-03-30 22:52:45,Wisconsin,Ashland,0,0,0,46.31956891,-90.67837132
2020-03-30 22:52:45,Arkansas,Ashley,1,0,0,33.19153461,-91.76984709999999
2020-03-30 22:52:45,Ohio,Ashtabula,6,0,0,41.70860332,-80.74830218
2020-03-30 22:52:45,Washington,Asotin,0,0,0,46.18894415,-117.2022851
2020-03-30 22:52:45,Louisiana,Assumption,17,0,0,29.89946234,-91.06461642
2020-03-30 22:52:45,Texas,Atascosa,2,0,0,28.89333001,-98.52730485
2020-03-30 22:52:45,Kansas,Atchison,1,0,0,39.53185661,-95.30870026
2020-03-30 22:52:45,Missouri,Atchison,1,0,0,40.43238737,-95.42970639
2020-03-30 22:52:45,Ohio,Athens,3,1,0,39.33425634,-82.04278644
2020-03-30 22:52:45,Georgia,Atkinson,0,0,0,31.29633502,-82.87545866
2020-03-30 22:52:45,New Jersey,Atlantic,29,0,0,39.47538693,-74.65848483
2020-03-30 22:52:45,Oklahoma,Atoka,0,0,0,34.37366573,-96.03802487
2020-03-30 22:52:45,Mississippi,Attala,9,0,0,33.08658803,-89.57838564
2020-03-30 22:52:45,Missouri,Audrain,0,0,0,39.215877,-91.84242683
2020-03-30 22:52:45,Iowa,Audubon,1,0,0,41.6844628,-94.90581859
2020-03-30 22:52:45,Ohio,Auglaize,2,0,0,40.55998859,-84.22421429999999
2020-03-30 22:52:45,Virginia,Augusta,0,0,0,38.16404586,-79.12461614
2020-03-30 22:52:45,South Dakota,Aurora,1,0,0,43.71757685,-98.56050467
2020-03-30 22:52:45,Texas,Austin,2,0,0,29.88548725,-96.27736949
2020-03-30 22:52:45,Alabama,Autauga,6,0,0,32.53952745,-86.64408227
